question,answer
Why is Savart different?,"Our advisory services are unlike most other ‘newsletter’ platforms that send bulk communications for investment to all subscribers. Savart’ advice is customized and built based on your risk profile, goals and aspirations. We understand ‘you’ and then recommend what is best for your wealth. Our advice is driven by APART, our Artificial Intelligence driven investment research automation system. APART is the most advanced system of its kind in the world. "
How much return will I get through Savart?,"Savart’s performance target is to achieve a 30% CAGR (average portfolio return) for 30 years and do even better beyond that. Maintaining this consistency especially during market downturns and controlling risk are important for us. It must be understood that is our target, not a guarantee. "
Does Savart monitor my portfolio every day?,"We monitor our investee assets on a real-time basis. We also understand that it is difficult to remain emotionally detached while tracking the investment daily, we’ve got you covered from the hassle of tracking market every single day. Linking your demat/trading account with the Savart web or mobile application makes it possible for APART to track portfolio and recommend the necessary action. "
What is EFG Analysis?,"The EFG (Emotional, Financial & General) analysis is a proprietary psychometric assessment built by Savart to understand your goals and risk preferences. The personal profile, investment profile & goals section within the Savart web & mobile application together comprise the EFG Analysis. Savart also asks you questions infrequently during your engagement with our application to remain updated about your choices and configure your portfolio accordingly."
What does the plan cover?,"The Gromo salary protect plan covers 3 months of salary payment up to the plan amount, extra benefits up to ₹50,000, and placement assistance service to subscribers to help them find a new job."
Can a customer buy a plan above his/her salary amount?,"The salary payment in case of claim will be the customer's salary, or plan limit, whichever is lower. Hence the customer should make their buying decision carefully."
Will the plan continue after the customer makes a claim?,Customers can only make 1 claim in the job loss plan per year. Once the claim is made the customer can purchase a fresh plan
What are your support hours?,"Our Customer Care team is available, Monday through Sunday from 9 am to 6 pm, to answer all your queries."
Who can I sell this plan to? Who is eligible to buy?,"Full-time salaried professionals who earn above ₹10,000 a month are eligible to buy this plan. The company name of a customer should be in the database of Job loss plan."
How much is the Insta EMI card's fee?,EMI card’s card fee is ₹599 broken down as follows: Card Fee - ₹530; Online Convenience Fee - ₹69; Card Fee - ₹599.
How do I apply for a Shoppers Stop HDFC Bank Credit Card?,"Individuals above the age of 21 years can apply for the Shoppers Stop HDFC Bank Credit Card. Based on the Bank’s internal Policy, the potential customer will be given the right card."
What are Shoppers Stop First Citizen Points?,"Shoppers Stop First Citizen Points are an exclusive rewards metric system created only for Shoppers Stop HDFC Bank Credit Cardholders. You earn points on retail spending you make through your Shoppers Stop HDFC Bank Credit Cards on key categories like your Fashion, Beauty, and Home Décor as mentioned in the Product Features and Benefits"
What are Private label brands?,"These are the exclusive brands owned by Shoppers Stop. The below following are some of the Private label brands inside Shoppers Stop: Haute Curry, Arcelia, Stop, Fratini, Life, Kashish, Back to Earth, Devon North, Fern, Ivy, Harissa, Karrot."
Do I earn Shoppers Stop First Citizen Points on all my transactions?,"Shoppers Stop First Citizen Points can be accrued from all kinds of retail transactions that include both Online and Point of Sale (PoS) transactions. However, there are a few kinds of transactions for which you will not get Shoppers Stop First Citizen Points. These are as follows: • Any kind of wallet loading • EMI Transactions • Account Fees and Payment • Purchase of jewelry/gold coins or its equivalents"
